Altay Bayındır, Fenerbahçe
Mert Günok, Beşiktaş
Utku Yuvakuran, Beşiktaş
Fernando Muslera, Galatasaray
Bartu Kulbilge, Fenerbahçe
Ersin Destanoğlu, Beşiktaş
Fatih Öztürk, Galatasaray 
Okan Kocuk, Galatasaray
Emre Bilgin, Beşiktaş
Furkan Onur Akyüz, Fenerbahçe
Osman Ertuğrul Çetin, Fenerbahçe
Oytun Özdoğan, Fenerbahçe
Ismail Cipe, Galatasaray
Goktug Baytekin, Beşiktaş
Domagoj Vida, Beşiktaş
Jankat Yilmaz, Galatasaray
Berke Özer, Fenerbahçe
Semih Kaya, Galatasaray
Welinton, Beşiktaş
Ahmet Buğra Güven, Fenerbahçe
Patrick Van Aanholt, Galatasaray
Marcel Jany Émile Tisserand, Fenerbahçe
Ruhan Arda Aksoy, Fenerbahçe
Douglas, Beşiktaş
Omar Elabdellaoui, Galatasaray
Min-Jae Kim, Fenerbahçe
Fabrice NSkala, Beşiktaş
Romain Saiss, Beşiktaş
Alpaslan Öztürk, Galatasaray
Attila Árpád Szalai, Fenerbahçe
Umut Meras, Beşiktaş
Abdulkerim Bardakçı, Galatasaray
Emre Taşdemir, Galatasaray
Marcao, Galatasaray
Francisco Montero, Beşiktaş
Sadık Çiftpınar, Fenerbahçe
Victor Nelsson, Galatasaray
Valentin Rosier, Beşiktaş
Rıdvan Yılmaz, Beşiktaş
Emir Ortakaya, Fenerbahçe
